marca,modelo,ano_vehic,antiguedad,rango_antiguedad,km,combustible,puertas,cv,transmision,ubicacion,particular,precio,segmento_precio,precio_por_cv,stats_visto,stats_favorito,stats_contactado,engagement_score
PEUGEOT,308 5P GT PACK PURETECH 130 SS EAT8,2020.0,1,Casi nuevo (0-3a),9.0,Gasolina,5.0,130.0,automat,Alicante,Profesional,19.99,Medio (10-20K),153.77,14970,1,0,7515.0
PEUGEOT,508 5P ACTIVE PURETECH 130KW 180 SS EAT8,2019.0,2,Casi nuevo (0-3a),35.0,Gasolina,5.0,180.0,automat,Castellon,Profesional,25.9,Premium (20-35K),143.89,212163,2,3,106442.0
HYUNDAI,SANTA FE 2. 2 CRDI STYLE AUTO 4X4 7S,2017.0,4,Reciente (4-7a),112.859,Diesel,5.0,200.0,automat,Malaga,Profesional,22.0,Premium (20-35K),110.0,23027,6,2,11894.0
FORD,KUGA STLINE 2. 0 ECOBLUE MHEV 110KW 150CV,2020.0,1,Casi nuevo (0-3a),10.0,Híbrido,5.0,150.0,manual,Madrid,Profesional,27.9,Premium (20-35K),186.0,36686,1,0,18373.0
FIAT,500 1. 3 16V MULTIJET 75 CV BY DIESEL,2009.0,12,Seminuevo (8-12a),114.0,Diesel,3.0,75.0,manual,Valladolid,Profesional,6.95,Accesible (5-10K),92.67,81860,3,0,41020.0
RENAULT,KANGOO COMBI NUEVO KANGO COMBI PROFESIONAL DCI 90,2013.0,8,Seminuevo (8-12a),153.0,Diesel,4.0,90.0,manual,Pontevedra,Profesional,7.5,Accesible (5-10K),83.33,199013,4,0,99626.0
JEEP,COMPASS 1. 4 MAIR 103KW SPORT 4X2,2020.0,1,Casi nuevo (0-3a),49.23,Gasolina,5.0,140.0,manual,Valencia,Profesional,19.67,Medio (10-20K),140.5,923606,59,1,463673.0
FIAT,PUNTO 1. 3 MULTIJET 16V FEEL,2006.0,15,Clásico (>12a),160.0,Diesel,3.0,70.0,manual,Valladolid,Profesional,4.5,Económico (<5K),64.29,145120,3,0,72650.0
RENAULT,MEGANE SP. TOU. BUSINESS ENERGY DCI 95 SS E6,2016.0,5,Reciente (4-7a),129.0,Diesel,5.0,95.0,manual,Pontevedra,Profesional,7.5,Accesible (5-10K),78.95,192474,20,2,97037.0
RENAULT,ESPACE PRIVILEGE 2. 2 DCI 16V,2006.0,15,Clásico (>12a),140.0,Diesel,5.0,150.0,manual,Valladolid,Profesional,6.35,Accesible (5-10K),42.33,231335,16,0,116148.0
OPEL,ZAFIRA 1. 7 CDTI ESSENTIA,2009.0,12,Seminuevo (8-12a),179.0,Diesel,5.0,110.0,manual,Madrid,Profesional,3.999,Económico (<5K),36.35,14055,0,1,7128.0
PEUGEOT,207 SPORT 1. 6 HDI 110,2008.0,13,Clásico (>12a),179.0,Diesel,3.0,110.0,manual,Madrid,Profesional,3.6,Económico (<5K),32.73,13901,0,0,6950.0
HYUNDAI,KONA,2020.0,1,Casi nuevo (0-3a),7.0,Híbrido,5.0,204.0,automat,Cadiz,Profesional,35.9,Lujo (>35K),175.98,1410,0,0,705.0
PEUGEOT,3008 1. 5 BLUEHDI 96KW SS GT EAT8,2021.0,0,Casi nuevo (0-3a),82.6,Diesel,5.0,130.0,automat,Malaga,Profesional,33.2,Premium (20-35K),255.38,6019,0,0,3010.0
PEUGEOT,208 PURETECH 73KW 100CV ACTIVE PACK,2021.0,0,Casi nuevo (0-3a),82.6,Gasolina,5.0,100.0,manual,Malaga,Profesional,14.9,Medio (10-20K),149.0,4760,0,0,2380.0
PEUGEOT,5008 1. 6 PURETECH 132KW SS GT PACK EAT8,2020.0,1,Casi nuevo (0-3a),82.6,Gasolina,5.0,180.0,automat,Malaga,Profesional,37.7,Lujo (>35K),209.44,9650,0,0,4825.0
PEUGEOT,3008 HYBRID,2021.0,0,Casi nuevo (0-3a),82.6,Híbrido,5.0,225.0,automat,Malaga,Profesional,34.5,Premium (20-35K),153.33,9013,0,0,4506.0
PEUGEOT,5008 1. 5 BLUEHDI 96KW 130CV SS ALLURE,2021.0,0,Casi nuevo (0-3a),82.6,Diesel,5.0,130.0,manual,Malaga,Profesional,31.3,Premium (20-35K),240.77,8773,0,0,4386.0
PEUGEOT,E2008,2020.0,1,Casi nuevo (0-3a),82.6,Híbrido,5.0,136.0,automat,Malaga,Profesional,34.0,Premium (20-35K),250.0,7743,0,0,3872.0
OPEL,CORSA 1. 4 66KW 90CV DESIGN LINE,2019.0,2,Casi nuevo (0-3a),40.46,Gasolina,5.0,90.0,manual,Las Palmas,Profesional,9.49,Accesible (5-10K),105.44,5485,0,0,2742.0
JEEP,RENEGADE 1. 0G 88KW LONGITUDE 4X2,2019.0,2,Casi nuevo (0-3a),49.23,Gasolina,5.0,120.0,manual,Las Palmas,Profesional,15.99,Medio (10-20K),133.25,6833,1,2,3646.0
SKODA,OCTAVIA COMBI 2. 0 TDI CR 184CV DSG RS,2016.0,5,Reciente (4-7a),89.0,Diesel,5.0,184.0,automat,Ourense,Profesional,18.5,Medio (10-20K),100.54,9957,9,0,5248.0
PEUGEOT,308 CC SPORT PACK 2. 0 HDI 140 FAP,2010.0,11,Seminuevo (8-12a),250.0,Diesel,2.0,140.0,manual,Madrid,Profesional,5.998,Accesible (5-10K),42.84,14265,0,0,7132.0
HYUNDAI,KONA,2020.0,1,Casi nuevo (0-3a),5.0,Híbrido,5.0,204.0,automat,Madrid,Profesional,36.69,Lujo (>35K),179.85,18362,0,0,9181.0
VOLKSWAGEN,PASSAT 2. 0 TDI 140CV HIGHLINE BLUEMOTION TECH,2014.0,7,Reciente (4-7a),82.0,Diesel,4.0,140.0,manual,Madrid,Profesional,12.9,Medio (10-20K),92.14,28961,4,1,14700.0
PEUGEOT,508 ALLURE BLUEHDI 96KW130CV SS EAT8,2019.0,2,Casi nuevo (0-3a),21.17,Diesel,5.0,130.0,automat,Madrid,Profesional,26.69,Premium (20-35K),205.31,18739,0,0,9370.0
HYUNDAI,IONIQ 1. 6 GDI HEV TECNO DCT CON TRAILER PACK,2018.0,3,Casi nuevo (0-3a),60.0,Híbrido,5.0,141.0,automat,Madrid,Profesional,15.5,Medio (10-20K),109.93,14558,0,0,7279.0
PEUGEOT,E208,2020.0,1,Casi nuevo (0-3a),10.7,Híbrido,5.0,136.0,automat,Madrid,Profesional,28.95,Premium (20-35K),212.87,19002,0,0,9501.0
PEUGEOT,508 5P GT HYBRID 225 EEAT8,2020.0,1,Casi nuevo (0-3a),26.0,Híbrido,5.0,225.0,automat,Madrid,Profesional,38.625,Lujo (>35K),171.67,18228,1,0,9144.0
PEUGEOT,208 5P ALLURE 1. 6 EHDI 92,2015.0,6,Reciente (4-7a),166.0,Diesel,5.0,92.0,manual,Zaragoza,Profesional,7.9,Accesible (5-10K),85.87,1684,0,0,842.0
SEAT,LEON 2. 0 TDI 140CV SPORT,2006.0,15,Clásico (>12a),147.0,Diesel,5.0,140.0,manual,Valladolid,Profesional,6.5,Accesible (5-10K),46.43,8513,2,0,4316.0
JAGUAR,XJ XJS CONVERTIBLE 4. 0,1994.0,27,Clásico (>12a),115.0,Gasolina,2.0,223.0,automat,Alicante,Profesional,35.99,Lujo (>35K),161.39,4422,1,0,2241.0
BMW,SERIE 4 420D GRAN COUPE,2016.0,5,Reciente (4-7a),176.0,Diesel,5.0,190.0,automat,Alicante,Profesional,17.99,Medio (10-20K),94.68,2728,6,0,1544.0
JAGUAR,SERIE XK XK8 4. 2 COUPE,2007.0,14,Clásico (>12a),79.0,Gasolina,3.0,298.0,automat,Alicante,Profesional,24.99,Premium (20-35K),83.86,3799,2,0,1960.0
JAGUAR,SERIE XK XKR COUPE,1999.0,22,Clásico (>12a),85.0,Gasolina,2.0,370.0,automat,Alicante,Profesional,18.99,Medio (10-20K),51.32,4568,1,0,2314.0
NISSAN,ALMERA TINO 2. 2DCI 112 ACENTA,2005.0,16,Clásico (>12a),205.559,Diesel,5.0,112.0,manual,Cantabria,Profesional,2.5,Económico (<5K),22.32,3981,0,0,1990.0
FORD,CMAX 1. 0 ECOBOOST 125 AUTO STARTSTOP TREND,2012.0,9,Seminuevo (8-12a),119.53,Gasolina,5.0,125.0,manual,Cantabria,Profesional,7.8,Accesible (5-10K),62.4,2341,1,0,1200.0
SEAT,ALTEA 1. 6 TDI 105CV REFERENCE EECOMOTIVE,2011.0,10,Seminuevo (8-12a),169.183,Diesel,5.0,105.0,manual,Cantabria,Profesional,6.5,Accesible (5-10K),61.9,3174,0,0,1587.0
MAZDA,CX3 2. 0 G 89KW 121CV 2WD AT EVOLUTION NAVI,2019.0,2,Casi nuevo (0-3a),38.0,Gasolina,5.0,121.0,manual,Alicante,Profesional,16.8,Medio (10-20K),138.84,1851,3,0,1016.0
BMW,X6 M,2011.0,10,Seminuevo (8-12a),45.0,Gasolina,5.0,555.0,automat,Alicante,Profesional,41.99,Lujo (>35K),75.66,4913,2,0,2516.0
HYUNDAI,I30 1. 0 TGDI KLASS,2020.0,1,Casi nuevo (0-3a),4.061,Gasolina,5.0,120.0,manual,Cadiz,Profesional,15.4,Medio (10-20K),128.33,59370,0,0,29685.0
PEUGEOT,5008 CONFORT 1. 6 HDI 112 FAP,2011.0,10,Seminuevo (8-12a),137.279,Diesel,5.0,112.0,manual,Cantabria,Profesional,8.5,Accesible (5-10K),75.89,2773,1,0,1416.0
FORD,MONDEO 2. 0 TDCI 150CV BUSINESS SPORTBREAK,2015.0,6,Reciente (4-7a),85.0,Diesel,5.0,150.0,manual,Zaragoza,Profesional,12.85,Medio (10-20K),85.67,5330,2,0,2725.0
HYUNDAI,I20 I20 1. 4 CRDI GL PBT COMFORT AA ESP,2011.0,10,Seminuevo (8-12a),189.0,Diesel,5.0,75.0,manual,Asturias,Profesional,4.3,Económico (<5K),57.33,4598,2,0,2359.0
CITROEN,C4 1. 6 HDI 110 COLLECTION,2007.0,14,Clásico (>12a),146.0,Diesel,5.0,110.0,manual,Valladolid,Profesional,5.9,Accesible (5-10K),53.64,11198,0,0,5599.0
LEXUS,CT 200H EXECUTIVE,2014.0,7,Reciente (4-7a),69.0,Híbrido,5.0,136.0,automat,Tarragona,Profesional,13.5,Medio (10-20K),99.26,4676,1,0,2368.0
SKODA,OCTAVIA COMBI 2. 0 TDI CR 184CV DSG RS,2016.0,5,Reciente (4-7a),96.0,Diesel,5.0,184.0,automat,Ourense,Profesional,19.9,Medio (10-20K),108.15,44999,18,3,23340.0
CITROEN,BERLINGO 1. 6 HDI 115 SEDUCTION,2012.0,9,Seminuevo (8-12a),186.0,Diesel,5.0,114.0,manual,Castellon,Profesional,9.0,Accesible (5-10K),78.95,5016,0,0,2508.0
MERCEDES-BENZ,CLASE CLA CLA 200 D,2018.0,3,Casi nuevo (0-3a),32.0,Diesel,4.0,136.0,automat,Alicante,Profesional,26.89,Premium (20-35K),197.72,4590,0,0,2295.0
SEAT,LEON 1. 5 ECOTSI 96KW 130CV STSP STYLE,2019.0,2,Casi nuevo (0-3a),15.058,Gasolina,5.0,130.0,manual,Cantabria,Profesional,14.99,Medio (10-20K),115.31,7877,1,0,3968.0
OPEL,ASTRA 1. 6 CDTI 81KW 110CV BUSINESS,2017.0,4,Reciente (4-7a),57.215,Diesel,5.0,110.0,manual,Cantabria,Profesional,11.99,Medio (10-20K),109.0,6898,1,0,3479.0
PEUGEOT,308 CONFORT 1. 6 VTI 120,2008.0,13,Clásico (>12a),155.0,Gasolina,5.0,120.0,manual,Zaragoza,Profesional,4.999,Económico (<5K),41.66,15775,1,0,7918.0
CHEVROLET,EPICA 2. 0 VCDI 16V LT,2008.0,13,Clásico (>12a),189.0,Diesel,4.0,150.0,manual,Zaragoza,Profesional,3.999,Económico (<5K),26.66,17058,0,0,8529.0
PEUGEOT,3008 1. 6BLUEHDI 88KW 120CV ALLURE SS,2017.0,4,Reciente (4-7a),60.0,Diesel,5.0,120.0,automat,Castellon,Profesional,20.5,Premium (20-35K),170.83,3742,1,0,1901.0
VOLKSWAGEN,BEETLE 2. 0 TDI 140CV DESIGN,2012.0,9,Seminuevo (8-12a),132.0,Diesel,3.0,140.0,manual,Castellon,Profesional,10.0,Accesible (5-10K),71.43,5187,1,1,2724.0
SKODA,SUPERB 1. 9 TDI COLLECTION,2008.0,13,Clásico (>12a),204.0,Diesel,4.0,115.0,manual,Alicante,Profesional,3.49,Económico (<5K),30.35,8017,9,0,4278.0
FIAT,500 1. 2 8V 69 CV LOUNGE,2008.0,13,Clásico (>12a),125.0,Gasolina,3.0,69.0,manual,Castellon,Profesional,5.8,Accesible (5-10K),84.06,5171,2,0,2646.0
RENAULT,GRAND SCENIC DYNAMIQUE ENERGY DCI 130 SS 7P,2012.0,9,Seminuevo (8-12a),91.789,Diesel,5.0,130.0,manual,Tarragona,Profesional,10.999,Medio (10-20K),84.61,11316,0,0,5658.0
HYUNDAI,IONIQ 1. 6 GDI HEV TECNO DCT,2019.0,2,Casi nuevo (0-3a),8.371,Híbrido,5.0,141.0,automat,Malaga,Profesional,18.8,Medio (10-20K),133.33,12684,0,0,6342.0
HYUNDAI,I40 1. 7 CRDI 136CV BLUEDRIVE TECNO,2013.0,8,Seminuevo (8-12a),350.0,Diesel,4.0,136.0,manual,Zaragoza,Profesional,4.95,Económico (<5K),36.4,13438,11,0,7049.0
BMW,SERIE 3 320D TOURING,2015.0,6,Reciente (4-7a),222.0,Diesel,5.0,184.0,manual,Alicante,Profesional,12.49,Medio (10-20K),67.88,8037,3,0,4108.0
HYUNDAI,TUCSON 2. 0 CLASSIC 4X2,2009.0,12,Seminuevo (8-12a),105.0,Gasolina,5.0,142.0,manual,Zaragoza,Profesional,6.5,Accesible (5-10K),45.77,33335,4,0,16788.0
KIA,CARENS 1. 7 CRDI VGT 115CV CONCEPT ECODYNAM 5PL,2015.0,6,Reciente (4-7a),98.0,Diesel,5.0,115.0,manual,Castellon,Profesional,12.0,Medio (10-20K),104.35,4779,0,1,2490.0
VOLKSWAGEN,SHARAN 2. 0 TDI 140CV ADVANCE,2010.0,11,Seminuevo (8-12a),224.0,Diesel,5.0,140.0,manual,Castellon,Profesional,11.5,Medio (10-20K),82.14,11829,0,0,5914.0
PEUGEOT,2008 ALLURE 1. 6 BLUEHDI 88KW 120CV SS,2018.0,3,Casi nuevo (0-3a),60.844,Diesel,5.0,120.0,manual,Alicante,Profesional,13.1,Medio (10-20K),109.17,171931,14,4,86786.0
HYUNDAI,TUCSON 2. 0 CDRI STYLE 4X4,2005.0,16,Clásico (>12a),150.0,Diesel,5.0,112.0,manual,Zaragoza,Profesional,5.8,Accesible (5-10K),51.79,10790,4,0,5515.0
FORD,BMAX 1. 0 ECOBOOST 100 TREND,2013.0,8,Seminuevo (8-12a),120.0,Gasolina,5.0,100.0,manual,Alicante,Profesional,6.99,Accesible (5-10K),69.9,9584,2,0,4852.0
RENAULT,MEGANE RENAULT SPORT 2. 0T,2004.0,17,Clásico (>12a),138.0,Gasolina,3.0,225.0,manual,Pontevedra,Profesional,9.3,Accesible (5-10K),41.33,57369,14,0,29104.0
BMW,SERIE 1 118D M SPORT EDITION,2013.0,8,Seminuevo (8-12a),124.0,Diesel,5.0,143.0,manual,Pontevedra,Profesional,14.5,Medio (10-20K),101.4,22905,6,0,11632.0
VOLKSWAGEN,TOUAREG 3. 0 V6 TDI 245 TIP PREMIUM BMOTION TECH,2013.0,8,Seminuevo (8-12a),158.954,Diesel,5.0,245.0,automat,Vizcaya,Profesional,21.8,Premium (20-35K),88.98,184210,24,6,93425.0
MERCEDES-BENZ,CLASE E COUPE E 220 CDI,2013.0,8,Seminuevo (8-12a),143.9,Diesel,2.0,170.0,automat,Pontevedra,Profesional,17.9,Medio (10-20K),105.29,42506,4,0,21373.0
HYUNDAI,I30 1. 0 TGDI ESSENCE,2019.0,2,Casi nuevo (0-3a),119.0,Gasolina,5.0,120.0,manual,Malaga,Profesional,12.9,Medio (10-20K),107.5,15999,1,0,8030.0
HYUNDAI,I30 1. 0 TGDI NLINE,2019.0,2,Casi nuevo (0-3a),2.83,Gasolina,5.0,120.0,manual,Malaga,Profesional,15.9,Medio (10-20K),132.5,13358,1,0,6709.0
HYUNDAI,IONIQ 1. 6 GDI PHEV TECNO DCT,2019.0,2,Casi nuevo (0-3a),13.235,Híbrido,5.0,141.0,automat,Malaga,Profesional,22.9,Premium (20-35K),162.41,13398,0,0,6699.0
CITROEN,C3 AIRCROSS,2020.0,1,Casi nuevo (0-3a),5.0,Gasolina,5.0,110.0,manual,Sevilla,Profesional,18.195,Medio (10-20K),165.41,24939,1,0,12500.0
FORD,KUGA 1. 6 ECOBOOST 150 ASS 4X2 TITANIUM,2015.0,6,Reciente (4-7a),128.733,Gasolina,5.0,150.0,manual,Madrid,Profesional,12.0,Medio (10-20K),80.0,49115,4,0,24678.0
FORD,SMAX 2. 0 TDCI PANTHER 110KW TITANIUM,2020.0,1,Casi nuevo (0-3a),20.0,Diesel,5.0,150.0,manual,Madrid,Profesional,25.8,Premium (20-35K),172.0,39399,4,0,19820.0
JEEP,COMPASS 1. 4 MAIR 125KW LIMITED 4X4 ATX,2019.0,2,Casi nuevo (0-3a),3.2,Gasolina,5.0,170.0,automat,Valencia,Profesional,28.5,Premium (20-35K),167.65,1056482,29,2,529311.0
JEEP,RENEGADE NIGHT EAGLE II 1. 0G MT6 88KW 120CV 4X2,2020.0,1,Casi nuevo (0-3a),200.0,Gasolina,5.0,120.0,manual,Valencia,Profesional,17.9,Medio (10-20K),149.17,982818,54,0,493029.0
PEUGEOT,407 SPORT 1. 6 HDI 110CV FAP,2009.0,12,Seminuevo (8-12a),210.0,Diesel,4.0,110.0,manual,Valladolid,Profesional,5.9,Accesible (5-10K),53.64,151167,2,0,75644.0
AUDI,A4 3. 0 TDI QUATTRO TIPTRONIC AVANT,2006.0,15,Clásico (>12a),170.0,Diesel,5.0,204.0,automat,Valladolid,Profesional,8.9,Accesible (5-10K),43.63,315030,30,3,158715.0
CITROEN,CELYSEE BLUEHDI 100CV EXCLUSIVE,2015.0,6,Reciente (4-7a),130.0,Diesel,4.0,100.0,manual,Madrid,Profesional,6.998,Accesible (5-10K),69.98,14050,1,0,7055.0
SKODA,OCTAVIA,2005.0,16,Clásico (>12a),138.5,Diesel,5.0,105.0,manual,Sevilla,Profesional,4.9,Económico (<5K),46.67,50696,1,0,25378.0
HYUNDAI,I30 1. 4 MPI ESSENCE,2018.0,3,Casi nuevo (0-3a),37.0,Gasolina,5.0,100.0,manual,Madrid,Profesional,10.99,Medio (10-20K),109.9,16060,1,0,8060.0
OPEL,GRANDLAND X,2017.0,4,Reciente (4-7a),65.0,Diesel,5.0,120.0,manual,Madrid,Profesional,14.9,Medio (10-20K),124.17,17124,1,0,8592.0
KIA,CEED 1. 0 TGDI 74KW 100CV CONCEPT,2020.0,1,Casi nuevo (0-3a),10.0,Gasolina,5.0,100.0,manual,Sevilla,Profesional,13.8,Medio (10-20K),138.0,20272,1,0,10166.0
FORD,ECOSPORT 1. 5 TDCI 73KW 100CV S S TREND,2018.0,3,Casi nuevo (0-3a),27.498,Diesel,5.0,100.0,manual,Cantabria,Profesional,13.99,Medio (10-20K),139.9,6214,0,0,3107.0
RENAULT,MEGANE ZEN BLUE DCI 85 KW 115CV,2020.0,1,Casi nuevo (0-3a),11.0,Diesel,5.0,115.0,manual,Cantabria,Profesional,18.99,Medio (10-20K),165.13,7099,0,0,3550.0
BMW,SERIE 5 530XD,2007.0,14,Clásico (>12a),360.0,Diesel,4.0,231.0,automat,Madrid,Profesional,6.989,Accesible (5-10K),30.26,45024,3,0,22602.0
HYUNDAI,IONIQ 1. 6 GDI HEV TECNO DCT,2018.0,3,Casi nuevo (0-3a),30.0,Híbrido,5.0,141.0,automat,Madrid,Profesional,18.99,Medio (10-20K),134.68,15011,0,0,7506.0
AUDI,Q3 2. 0 TDI 140CV QUATTRO S TRONIC AMBIENTE,2013.0,8,Seminuevo (8-12a),133.0,Diesel,5.0,140.0,automat,Madrid,Profesional,17.5,Medio (10-20K),125.0,24145,0,0,12072.0
AUDI,Q3 2. 0 TDI 177CV QUATTRO S TRONIC ADVANCE,2012.0,9,Seminuevo (8-12a),106.0,Diesel,5.0,177.0,automat,Madrid,Profesional,16.9,Medio (10-20K),95.48,26810,4,4,13925.0
OPEL,VIVARO 1. 6 CDTI SS 92KW L2 2. 9T COMBI PLUS9,2017.0,4,Reciente (4-7a),36.5,Diesel,4.0,125.0,manual,Las Palmas,Profesional,17.49,Medio (10-20K),139.92,8465,1,2,4462.0
RENAULT,CAPTUR ZEN TCE GPF 96KW 130CV,2019.0,2,Casi nuevo (0-3a),3.896,Gasolina,5.0,130.0,automat,Salamanca,Profesional,21.0,Premium (20-35K),161.54,10569,0,0,5284.0
FORD,FOCUS 1. 0 ECOBOOST MHEV 92KW STLINE,2021.0,0,Casi nuevo (0-3a),1.0,Híbrido,5.0,125.0,manual,Segovia,Profesional,18.0,Medio (10-20K),144.0,7073,1,0,3566.0
KIA,SPORTAGE 1. 6 GDI 97KW 132CV DRIVE 4X2,2019.0,2,Casi nuevo (0-3a),11.138,Gasolina,5.0,132.0,manual,Sevilla,Profesional,17.99,Medio (10-20K),136.29,49802,4,1,25121.0
SEAT,LEON ST 1. 6 TDI 85KW 115CV STSP STYLE,2017.0,4,Reciente (4-7a),75.304,Diesel,5.0,115.0,manual,Cantabria,Profesional,12.49,Medio (10-20K),108.61,12160,2,0,6140.0
MERCEDES-BENZ,CLASE C C 180 CGI BE AVANT. BLUE EFFICIENCY ED.,2010.0,11,Seminuevo (8-12a),66.0,Gasolina,4.0,156.0,manual,Alicante,Profesional,11.49,Medio (10-20K),73.65,33700,19,2,17620.0
FORD,KAPLUS 1. 2 TIVCT 51KW ULTIMATE,2018.0,3,Casi nuevo (0-3a),19.0,Gasolina,5.0,85.0,manual,Segovia,Profesional,7.7,Accesible (5-10K),90.59,22853,1,1,11556.0
